,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
257,N,133338,狄振鹏 著,978-7-115-33338-4,201709,46.40,0.8,制度才是真正的老板2(最新操作版)：一流的执行必有一流的制度,寇佳音,e0d55f55-3195-4bc1-bedc-415fdd42ed73,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-33338-4/72jpg/33338_s300.jpg,58,20140113,21309,1
258,N,137547,许应楠 凌守兴,978-7-115-37547-6,202012,25.60,0.8,电子商务与现代物流,王平,0d707ac0-e53e-461f-9cb9-b107ecf991c4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37547-6/72jpg/37547_s300.jpg,32,20150212,21228,1
259,N,141491,唐政,978-7-115-41491-5,202102,47.20,0.8,企业年度经营计划与全面预算管理,刘珺,de442f7f-0fc9-4655-a025-4e53641fd1ad,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41491-5/72jpg/41491_s300.jpg,59,20160118,21137,1
260,N,137563,郭楚凡 著,978-7-115-37563-6,201707,33.60,0.8,管理就是定标准 执行有标准 结果不走样,寇佳音,22e7c621-9ad4-4799-85e6-1b042514fdce,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37563-6/72jpg/37563_s300.jpg,42,20141225,21133,1
261,N,144060,张燕芳 林卫,978-7-115-44060-0,202008,28.80,0.8,国际贸易实务（第3版）,万国清,87c3597e-565e-4aed-84ef-24b35c3e752d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44060-0/72jpg/44060_s300.jpg,36,20161212,21122,1
262,N,144731,周星煜  邓燏,978-7-115-44731-9,202002,31.84,0.8,财务管理实务（第2版）,李育民,baa5dd80-4bf3-4a35-baed-904f2902b603,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44731-9/72jpg/44731_s300.jpg,39.8,20170213,21100,1
263,N,140727,杨毅刚,978-7-115-40727-6,201810,31.20,0.8,逆境逐梦,乔永真,23a745a8-3b00-43f2-ad0b-ee7040333b50,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40727-6/72jpg/40727_s300.jpg,39,20151203,21098,1
264,Y,141871,李雯,978-7-115-41871-5,202107,36.00,0.8,酒店客房部精细化管理与标准化服务,贾璐帆,5e70820f-c07e-490b-bb35-bc56867c04ca,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41871-5/72jpg/41871_s300.jpg,45,20160316,21092,1
265,N,144835,秋叶 萧秋水 刘勇,978-7-115-44835-4,201803,33.60,0.8,微博营销与运营,古显义,afe2f38f-6388-4955-ba25-e9ecb7dd1f41,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44835-4/72jpg/44835_s300.jpg,42,20170609,21075,1
266,N,1506969,刘主编,978-7-115-50696-2,202109,39.84,0.8,高效写作——培养终身受用的写作力（签名版）,牟桂玲,a2b04b4c-8870-471d-9729-c4eafe05d9fa,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50696-2/72jpg/50696_s300.jpg,49.8,20201216,21054,1
267,Y,142093,郑清元,978-7-115-42093-0,201912,47.84,0.8,移动社交微电商全网引流完全手册,李士振,823e65da-896e-44fd-a4f3-f47e08d59e77,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42093-0/72jpg/42093_s300.jpg,59.8,20160408,21015,1
268,N,140287,谭贤,978-7-115-40287-5,202012,47.84,0.8,新网络营销推广实战从入门到精通（双色图解版）,恭竟平,ba758c19-d6df-48f3-bc7b-e5b482a1d829,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40287-5/72jpg/40287_s300.jpg,59.8,20151026,20892,1
269,N,154036,粥左罗,978-7-115-54036-2,202007,47.20,0.8,学会成长 爆发式成长的25个思维模型,郑婷,f0487998-e2c8-4d5f-afed-11e2da85792c,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54036-2/72jpg/54036_s300.jpg,59,20200620,20891,1
270,N,144084,李胜春,978-7-115-44084-6,201711,46.40,0.8,企业从初创到IPO的融资策略 企业融资路线图全揭秘,折青霞,4c152bbe-e419-4e36-8da3-ea2898546dfe,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44084-6/72jpg/44084_s300.jpg,58,20161223,20843,1
271,Y,149854,任康磊,978-7-115-49854-0,202004,47.84,0.8,绩效管理与量化考核从入门到精通,郭媛,0431acfd-c78a-4d54-8160-31cf250734c3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49854-0/72jpg/49854_s300.jpg,59.8,20190212,20836,1
272,Y,147548,孙勇兴,978-7-115-47548-0,202107,44.00,0.8,餐饮开店 全程运作实战手册,唐可人,dcb013eb-ffb2-44c3-8617-373754941eb7,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47548-0/72jpg/47548_s300.jpg,55,20180112,20799,1
273,N,127966,刘同 著,978-7-115-27966-8,201204,25.60,0.8,职场急诊室——谁没一点病,张慧芳 王建军,e8b4fe7c-7a7f-4575-8e86-8f443f702579,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-27966-8/72jpg/27966_s300.jpg,32,20120502,20777,1
274,Y,145826,王德敏,978-7-115-45826-1,202109,52.00,0.8,企业内控精细化管理全案（第3版）,付微微,2a6f2fe4-1dbc-4c85-b07c-95bc013a07a3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45826-1/72jpg/45826_s300.jpg,65,20170615,20703,1
275,N,132600,霍振先 著,978-7-115-32600-3,201707,39.84,0.8,老板轻松管财务：一本书让老板成为财务内行(全彩图解版),寇佳音,b6356ab5-d549-4ef5-ba41-15d7857830d5,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-32600-3/72jpg/32600_s300.jpg,49.8,20130828,20695,1
276,N,143950,苟旭杰,978-7-115-43950-5,201902,46.40,0.8,公司IPO上市操作全案,折青霞,e57ec58c-0da7-479c-9b7a-be9e5173bd99,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43950-5/72jpg/43950_s300.jpg,58,20161230,20643,1
277,N,151866,秋叶,978-7-115-51866-8,202101,44.00,0.8,秋叶特训营 写作7堂课,颜景燕,bd5f7ec5-d375-4a61-ba59-37aa582aa49c,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51866-8/72jpg/51866_s300.jpg,55,20191015,20619,1
278,N,150928,笔杆子训练营,978-7-115-50928-4,202109,47.84,0.8,办公室公文写作全能一本通 格式 技巧和范例大全,刘尉,022ffb3f-4b7d-40aa-a81f-01b13183bde9,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50928-4/72jpg/50928_s300.jpg,59.8,20190826,20356,1
